id_epreuve,epreuve_name,genre,epreuve_type,is_individual,is_olympic,is_summer,is_handicap,result_direction,id_discipline,id_sport
1,Course sur route - Hommes,Hommes,Individuel,True,True,True,False,0,23,37
2,Contre la montre - Hommes,Hommes,Individuel,True,True,True,False,0,23,37
4,Par équipes Pursuit 8 Laps - Hommes,Hommes,Equipe,False,True,False,False,0,401,40
5,Simple - Hommes,Hommes,Individuel,True,True,True,False,0,130,68
8,1500m - Hommes,Hommes,Individuel,True,True,True,False,0,251,28
13,Relais 4 x 400m - Hommes,Hommes,Equipe,False,True,True,False,0,251,28
15,50km Marche - Hommes,Hommes,Individuel,True,False,True,False,0,251,28
18,Poids - Hommes,Hommes,Individuel,True,True,True,False,1,251,28
24,Combiné alpin - Hommes,Hommes,Individuel,True,True,False,False,0,107,34
25,Descente - Hommes,Hommes,Individuel,True,True,False,False,0,107,34
26,Super G - Hommes,Hommes,Individuel,True,True,False,False,0,107,34
27,49er - Hommes,Hommes,Double,False,True,True,False,0,144,1
28,ILCA 7 - Hommes,Hommes,Individuel,True,True,True,False,0,144,1
38,400m 4 nages (individuel) - Hommes,Hommes,Individuel,True,True,True,False,0,355,65
39,3m Tremplin - Hommes,Hommes,Individuel,True,True,True,False,1,84,3
40,Double - Hommes,Hommes,Double,False,True,True,False,1,9,55
42,Poids mouche - Hommes (51kg) OG,Hommes,Individuel,True,False,True,False,0,360,60
48,+100kg - Hommes,Hommes,Individuel,True,True,True,False,0,68,61
49,73kg - Hommes,Hommes,Individuel,True,True,True,False,0,68,61
52,Par équipes - Hommes,Hommes,Equipe,False,True,True,False,0,131,19
67,69kg - Hommes,Hommes,Individuel,True,False,True,False,1,45,29
68,94kg - Hommes,Hommes,Individuel,True,False,True,False,1,45,29
73,Par équipes Sabre - Hommes,Hommes,Equipe,False,True,True,False,1,35,33
78,10m Carabine à air comprimé - Hommes,Hommes,Individuel,True,True,True,False,1,136,66
87,58kg - Hommes - JO,Hommes,Individuel,True,True,True,False,0,129,32
91,Single - Hommes,Hommes,Individuel,True,True,False,False,0,119,44
101,Relais 4 x 7.5km - Hommes,Hommes,Equipe,False,True,False,False,0,109,41
109,15km Style classique - Hommes,Hommes,Individuel,True,False,False,False,0,108,67
110,15km Style libre - Hommes,Hommes,Individuel,True,True,False,False,0,108,67
114,2 x 15km Skiathlon - Hommes,Hommes,Individuel,True,True,False,False,0,108,67
117,Saut acrobatique - Hommes,Hommes,Individuel,True,True,False,False,1,110,6
119,Bosses - Hommes,Hommes,Individuel,True,True,False,False,1,110,6
122,5000m Relais - Hommes,Hommes,Equipe,False,True,False,False,0,400,21
130,Poursuite Par équipes - Hommes,Hommes,Equipe,False,True,True,False,0,22,13
138,1000m - Hommes,Hommes,Individuel,True,True,False,False,0,401,40
139,5000m - Hommes,Hommes,Individuel,True,True,False,False,0,401,40
140,Double - Hommes,Hommes,Double,False,True,True,False,0,130,68
144,200m - Hommes,Hommes,Individuel,True,True,True,False,0,251,28
146,3000m Steeplechase - Hommes,Hommes,Individuel,True,True,True,False,0,251,28
147,5000m - Hommes,Hommes,Individuel,True,True,True,False,0,251,28
148,Decathlon - Hommes,Hommes,Individuel,True,True,True,False,1,251,28
149,Disque - Hommes,Hommes,Individuel,True,True,True,False,1,251,28
153,Javelot - Hommes,Hommes,Individuel,True,True,True,False,1,251,28
154,Marathon - Hommes,Hommes,Individuel,True,True,True,False,0,251,28
155,Perche - Hommes,Hommes,Individuel,True,True,True,False,1,251,28
156,Triple saut - Hommes,Hommes,Individuel,True,True,True,False,1,251,28
157,Hockey Equipe H,Hommes,Equipe,False,True,True,False,0,67,25
165,470 - Hommes,Hommes,Double,False,False,True,False,0,144,1
176,100m Dos - Hommes,Hommes,Individuel,True,True,True,False,0,355,65
177,100m Brasse - Hommes,Hommes,Individuel,True,True,True,False,0,355,65
178,100m Papillon - Hommes,Hommes,Individuel,True,True,True,False,0,355,65
179,100m Nage libre - Hommes,Hommes,Individuel,True,True,True,False,0,355,65
181,1500m Nage libre - Hommes,Hommes,Individuel,True,True,True,False,0,355,65
182,200m Papillon - Hommes,Hommes,Individuel,True,True,True,False,0,355,65
183,200m Nage libre - Hommes,Hommes,Individuel,True,True,True,False,0,355,65
184,Relais 4 x 100m Nage libre - Hommes,Hommes,Equipe,False,True,True,False,0,355,65
189,Simple - Hommes,Hommes,Individuel,True,True,True,False,0,9,55
194,Poids lourd - Hommes,Hommes,Individuel,True,False,True,False,0,360,60
198,Deux sans barreur - Hommes,Hommes,Equipe,False,True,True,False,0,8,15
200,Huit avec barreur - Hommes,Hommes,Equipe,False,True,True,False,0,8,15
203,Quatre de couple - Hommes,Hommes,Equipe,False,True,True,False,0,8,15
204,Simple - Hommes,Hommes,Individuel,True,True,True,False,0,131,19
212,Individuel - Hommes,Hommes,Individuel,True,True,True,False,1,368,10
213,Classique Par équipes - Hommes,Hommes,Equipe,False,True,True,False,1,368,10
217,Individuel - Hommes,Hommes,Individuel,True,True,True,False,1,97,16
219,Individuel Sabre - Hommes,Hommes,Individuel,True,True,True,False,0,35,33
224,25m Pistolet tir rapide - Hommes,Hommes,Individuel,True,True,True,False,1,137,66
232,68kg - Hommes - JO,Hommes,Individuel,True,True,True,False,0,129,32
233,+80kg - Hommes - JO,Hommes,Individuel,True,True,True,False,0,129,32
237,Par équipes - Hommes,Hommes,Equipe,False,True,False,False,0,118,20
247,Individuel 20km - Hommes,Hommes,Individuel,True,True,False,False,0,109,41
253,50km Style classique - Hommes,Hommes,Individuel,True,True,False,False,0,108,67
258,1000m - Hommes,Hommes,Individuel,True,True,False,False,0,400,21
260,500m - Hommes,Hommes,Individuel,True,True,False,False,0,400,21
263,Sprint individuel - Hommes,Hommes,Individuel,True,True,True,False,0,22,13
265,Keirin - Hommes,Hommes,Individuel,True,True,True,False,0,22,13
267,Madison - Hommes,Hommes,Equipe,False,True,True,False,1,22,13
271,Individuel - Hommes,Hommes,Individuel,True,True,False,False,0,153,9
