id_federation,federation_name,federation_short
71,Fédération Française de Voile,VOILE
76,Fédération française d'Equitation,EQUITATION
44,Fédération Française de Natation,NATATION
74,Fédération Française de Volley,VOLLEY BALL
58,Fédération Française de Ski,SKI
14,Fédération Française de Basketball,BASKET-BALL
42,Fédération Française de Lutte,LUTTE
80,Fédération Française des Sports de Glace,SPORTS DE GLACE
68,Fédération Française de Tir à l'Arc,TIR A L'ARC
69,Fédération Française de Triathlon et Disciplines Enchaînées,TRIATHLON
21,Fédération Française de Cyclisme,CYCLISME
79,Fédération Française d'Aviron,AVIRON
49,Fédération Française de Pentathlon Moderne,PENTATHLON MODERNE
66,Fédération Française de Tennis de Table,TENNIS DE TABLE
28,Fédération Française de Gymnastique,GYMNASTIQUE
30,Fédération Française de Hockey,HOCKEY
9,Fédération Française d'Athlétisme,ATHLETISME
3,Fédération Française d'Haltérophilie-musculation,HALTEROPHILIE
29,Fédération Française de Handball,HANDBALL
64,Fédération Française de Taekwondo et Disciplines Associées,TAEKWONDO
82,Fédération Française d'Escrime,ESCRIME
54,Fédération française de roller et skateboard,ROLLER ET SKATEBOARD
13,"Fédération Française de Baseball, Softball et Cricket",BASEBALL
27,Fédération Française de Golf,GOLF
24,Fédération Française de Football,FOOTBALL
18,Fédération Française de Canoë-Kayak et Sports de Pagaie,CANOE-KAYAK
10,Fédération Française de Badminton,BADMINTON
17,Fédération Française de Boxe,BOXE
36,Fédération Française de Judo-Jujitsu Kendo et Disciplines Associées,JUDO
31,Fédération Française de Hockey sur Glace,HOCKEY SUR GLACE
67,Fédération Française de Tir,TIR
65,Fédération Française de Tennis,TENNIS
55,Fédération Française de Rugby,RUGBY
37,Fédération Française de Karaté et disciplines associées,KARATE
63,Fédération Française de Surf,SURF
40,Fédération française de la Montagne et de l'Escalade,MONTAGNE ET ESCALADE
23,Fédération Française de Danse,DANSE
