id_result,id_evenement,id_country,id_athlete,athlete_last_name,athlete_first_name,id_team,team_name,rank,performance_text,performance_value,source_id,created_at,updated_at
6045706,162415,46,,,,921,China,9,,,600707072,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6045707,162415,118,,,,641,Japan,6,,,600707073,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6045708,162415,207,,,,486,Switzerland,4,,,600707074,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6045709,162415,387,,,,196999,ROC,5,,,600707075,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6045710,162415,74,,,,408,Finland,3,,,600707076,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6045711,162415,40,,,,353,Canada,1,,,600707077,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6045712,162415,233,,,,110,United States,2,,,600707078,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6045713,162414,127,,,,227,Latvia,11,,,600707093,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6045714,162414,209,,,,676,Slovakia,3,,,600707094,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6045715,162414,211,,,,840,Sweden,4,,,600707095,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6045716,162414,74,,,,491,Finland,1,,,600707096,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6045717,162414,60,,,,406,Denmark,7,,,600707097,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6045718,162414,207,,,,312,Switzerland,8,,,600707098,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6045719,162414,59,,,,386,Czech Republic,9,,,600707099,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6045720,162414,387,,,,192623,ROC,2,,,600707100,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6045721,162414,46,,,,780,China,12,,,600707101,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6045722,162414,87,,,,154,Germany,10,,,600707102,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6045723,162414,233,,,,204,United States,5,,,600707103,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6045724,162414,40,,,,182,Canada,6,,,600707104,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6138198,162416,40,,,,541,Canada,3,,,600712844,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6138199,162416,233,,,,842,United States,4,,,600712845,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6138200,162416,387,,,,201048,ROC,8,,,600712846,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6138201,162416,207,,,,585,Switzerland,7,,,600712847,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6138202,162416,82,,,,240,Great Britain,2,,,600712848,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6138203,162416,211,,,,302,Sweden,1,,,600712849,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6138204,162416,46,,,,954,China,5,,,600712850,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6138205,162417,233,,,,929,United States,6,,,600712851,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6138206,162417,207,,,,174,Switzerland,4,,,600712852,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6138207,162417,211,,,,218,Sweden,3,,,600712853,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6138208,162417,387,,,,201049,ROC,10,,,600712854,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6138209,162417,60,,,,444,Denmark,9,,,600712855,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6138210,162417,46,,,,1040,China,7,,,600712856,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6138211,162417,40,,,,244,Canada,5,,,600712857,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6138212,162282,59,,,,4786,Czech Republic,6,,,600712860,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6138213,162282,207,,,,4988,Switzerland,7,,,600712861,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6138214,162282,211,,,,5046,Sweden,3,,,600712862,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6138215,162282,168,,,,4888,Norway,2,,,600712863,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6138216,162282,113,,,,4909,Italy,1,,,600712864,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6138217,162282,82,,,,201047,Great Britain,4,,,600712865,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6138218,162282,46,,,,5789,China,9,,,600712866,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6138219,162282,40,,,,4985,Canada,5,,,600712867,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6138220,162415,59,,,,1228,Czech Republic,7,,,600715532,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6138221,162415,60,,,,80,Denmark,10,,,600715533,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6138222,162415,211,,,,928,Sweden,8,,,600715534,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6138223,162416,60,,,,437,Denmark,10,,,600718750,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6138224,162416,113,,,,468,Italy,9,,,600718751,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6138225,162416,168,,,,508,Norway,6,,,600718752,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6138226,162417,123,,,,774,Republic of Korea,8,,,600718753,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6138227,162417,118,,,,11,Japan,2,,,600718754,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6138228,162417,82,,,,497,Great Britain,1,,,600718755,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6138229,162282,233,,,,7760,United States,8,,,600718756,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6138230,162282,13,,,,7620,Australia,10,,,600718757,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6146428,537726,218,4820085,INSAENG,Subenrat,92143,Thailand,24,56.64,56640.0,34603617,2024-06-07 14:48:22.793,2025-03-31 03:07:57.530
6146761,577453,74,4884299,LAKKA,Elmo,92122,Finland,20,13.67,13670.0,52677240,2024-06-07 14:48:22.793,2025-03-31 03:07:57.530
6146771,644181,233,,,,92027,United States,5,268.560,268560.0,402864815,2024-06-07 14:48:22.793,2025-01-02 02:01:03.210
6146871,639442,13,4873500,GREGSON,Genevieve,96375,Australia,12,15:10.35,910350.0,34623042,2024-06-07 14:48:22.793,2025-03-31 03:07:57.530
6147434,529675,188,4916478,VAN RENSBURG,Rynardt,91331,South Africa,13,1:45.33,105330.0,34571108,2024-06-07 14:48:22.793,2025-03-31 03:07:57.530
6147668,531481,170,4860690,MCDOWELL,Martyn,96365,New Zealand,20,3:39.588,219588.0,34592873,2024-06-07 14:48:22.793,2024-10-02 03:00:57.673
6147710,374421,120,,,,1549,Kenya,11,,,600448118,2024-06-07 14:48:22.793,2024-10-02 03:00:57.673
6148112,645835,87,4747566,ECKERT,Paul,94060,Germany,18,,,40436315,2024-06-07 14:48:22.793,2025-03-16 02:08:20.147
6148311,555424,33,17999468,SOARES,Diogo,91777,Brazil,20,81.198,81198.0,52820768,2024-06-07 14:48:22.793,2025-01-02 02:01:03.210
6148369,553941,40,4832500,ST-GELAIS,Marianne,91610,Canada,11,,,40421801,2024-06-07 14:48:22.793,2025-03-17 02:04:21.060
6148533,375839,387,,,,194617,ROC,2,,,600693836,2024-06-07 14:48:22.793,2025-03-31 03:07:57.530
