id_resultat,id_resultat_source,source,id_athlete_base_resultats,id_personne,athlete_nom,athlete_prenom,id_equipe,equipe_en,id_pays,classement_epreuve,performance_finale_texte,performance_finale,id_evenement,id_edition,id_epreuve,dt_creation,dt_modification
6045706,600707072,infostrada,,,,,921,China,46,9.0,,,162415,45807,896099,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6045707,600707073,infostrada,,,,,641,Japan,118,6.0,,,162415,45807,896099,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6045708,600707074,infostrada,,,,,486,Switzerland,207,4.0,,,162415,45807,896099,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6045709,600707075,infostrada,,,,,196999,ROC,387,5.0,,,162415,45807,896099,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6045710,600707076,infostrada,,,,,408,Finland,74,3.0,,,162415,45807,896099,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6045711,600707077,infostrada,,,,,353,Canada,40,1.0,,,162415,45807,896099,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6045712,600707078,infostrada,,,,,110,United States,233,2.0,,,162415,45807,896099,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6045713,600707093,infostrada,,,,,227,Latvia,127,11.0,,,162414,45807,889202,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6045714,600707094,infostrada,,,,,676,Slovakia,209,3.0,,,162414,45807,889202,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6045715,600707095,infostrada,,,,,840,Sweden,211,4.0,,,162414,45807,889202,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6045716,600707096,infostrada,,,,,491,Finland,74,1.0,,,162414,45807,889202,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6045717,600707097,infostrada,,,,,406,Denmark,60,7.0,,,162414,45807,889202,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6045718,600707098,infostrada,,,,,312,Switzerland,207,8.0,,,162414,45807,889202,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6045719,600707099,infostrada,,,,,386,Czech Republic,59,9.0,,,162414,45807,889202,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6045720,600707100,infostrada,,,,,192623,ROC,387,2.0,,,162414,45807,889202,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6045721,600707101,infostrada,,,,,780,China,46,12.0,,,162414,45807,889202,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6045722,600707102,infostrada,,,,,154,Germany,87,10.0,,,162414,45807,889202,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6045723,600707103,infostrada,,,,,204,United States,233,5.0,,,162414,45807,889202,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6045724,600707104,infostrada,,,,,182,Canada,40,6.0,,,162414,45807,889202,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6138198,600712844,infostrada,,,,,541,Canada,40,3.0,,,162416,45827,237,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6138199,600712845,infostrada,,,,,842,United States,233,4.0,,,162416,45827,237,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6138200,600712846,infostrada,,,,,201048,ROC,387,8.0,,,162416,45827,237,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6138201,600712847,infostrada,,,,,585,Switzerland,207,7.0,,,162416,45827,237,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6138202,600712848,infostrada,,,,,240,Great Britain,82,2.0,,,162416,45827,237,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6138203,600712849,infostrada,,,,,302,Sweden,211,1.0,,,162416,45827,237,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6138204,600712850,infostrada,,,,,954,China,46,5.0,,,162416,45827,237,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6138205,600712851,infostrada,,,,,929,United States,233,6.0,,,162417,45827,27758,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6138206,600712852,infostrada,,,,,174,Switzerland,207,4.0,,,162417,45827,27758,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6138207,600712853,infostrada,,,,,218,Sweden,211,3.0,,,162417,45827,27758,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6138208,600712854,infostrada,,,,,201049,ROC,387,10.0,,,162417,45827,27758,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6138209,600712855,infostrada,,,,,444,Denmark,60,9.0,,,162417,45827,27758,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6138210,600712856,infostrada,,,,,1040,China,46,7.0,,,162417,45827,27758,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6138211,600712857,infostrada,,,,,244,Canada,40,5.0,,,162417,45827,27758,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6138212,600712860,infostrada,,,,,4786,Czech Republic,59,6.0,,,162282,45827,6041,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6138213,600712861,infostrada,,,,,4988,Switzerland,207,7.0,,,162282,45827,6041,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6138214,600712862,infostrada,,,,,5046,Sweden,211,3.0,,,162282,45827,6041,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6138215,600712863,infostrada,,,,,4888,Norway,168,2.0,,,162282,45827,6041,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6138216,600712864,infostrada,,,,,4909,Italy,113,1.0,,,162282,45827,6041,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6138217,600712865,infostrada,,,,,201047,Great Britain,82,4.0,,,162282,45827,6041,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6138218,600712866,infostrada,,,,,5789,China,46,9.0,,,162282,45827,6041,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6138219,600712867,infostrada,,,,,4985,Canada,40,5.0,,,162282,45827,6041,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6138220,600715532,infostrada,,,,,1228,Czech Republic,59,7.0,,,162415,45807,896099,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6138221,600715533,infostrada,,,,,80,Denmark,60,10.0,,,162415,45807,896099,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6138222,600715534,infostrada,,,,,928,Sweden,211,8.0,,,162415,45807,896099,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6138223,600718750,infostrada,,,,,437,Denmark,60,10.0,,,162416,45827,237,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6138224,600718751,infostrada,,,,,468,Italy,113,9.0,,,162416,45827,237,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6138225,600718752,infostrada,,,,,508,Norway,168,6.0,,,162416,45827,237,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6138226,600718753,infostrada,,,,,774,Republic of Korea,123,8.0,,,162417,45827,27758,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6138227,600718754,infostrada,,,,,11,Japan,118,2.0,,,162417,45827,27758,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6138228,600718755,infostrada,,,,,497,Great Britain,82,1.0,,,162417,45827,27758,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6138229,600718756,infostrada,,,,,7760,United States,233,8.0,,,162282,45827,6041,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6138230,600718757,infostrada,,,,,7620,Australia,13,10.0,,,162282,45827,6041,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
6146428,34603617,infostrada,4820085.0,-1.0,INSAENG,Subenrat,92143,Thailand,218,24.0,56.64,56640.0,537726,30322,6704,2024-06-07 14:48:22.793,2025-03-31 03:07:57.530
6146761,52677240,infostrada,4884299.0,-1.0,LAKKA,Elmo,92122,Finland,74,20.0,13.67,13670.0,577453,35870,441,2024-06-07 14:48:22.793,2025-03-31 03:07:57.530
6146771,402864815,infostrada,,,,,92027,United States,233,5.0,268.560,268560.0,644181,32737,620,2024-06-07 14:48:22.793,2025-01-02 02:01:03.210
6146871,34623042,infostrada,4873500.0,-1.0,GREGSON,Genevieve,96375,Australia,13,12.0,15:10.35,910350.0,639442,30322,6618,2024-06-07 14:48:22.793,2025-03-31 03:07:57.530
6147434,34571108,infostrada,4916478.0,-1.0,VAN RENSBURG,Rynardt,91331,South Africa,188,13.0,1:45.33,105330.0,529675,30322,299,2024-06-07 14:48:22.793,2025-03-31 03:07:57.530
6147668,34592873,infostrada,4860690.0,-1.0,MCDOWELL,Martyn,96365,New Zealand,170,20.0,3:39.588,219588.0,531481,28988,591,2024-06-07 14:48:22.793,2024-10-02 03:00:57.673
6147710,600448118,infostrada,,,,,1549,Kenya,120,11.0,,,374421,32738,703,2024-06-07 14:48:22.793,2024-10-02 03:00:57.673
6148112,40436315,infostrada,4747566.0,-1.0,ECKERT,Paul,94060,Germany,87,18.0,,,645835,33829,637,2024-06-07 14:48:22.793,2025-03-16 02:08:20.147
6148311,52820768,infostrada,17999468.0,-1.0,SOARES,Diogo,91777,Brazil,33,20.0,81.198,81198.0,555424,35911,574,2024-06-07 14:48:22.793,2025-01-02 02:01:03.210
6148369,40421801,infostrada,4832500.0,-1.0,ST-GELAIS,Marianne,91610,Canada,40,11.0,,,553941,33831,6956,2024-06-07 14:48:22.793,2025-03-17 02:04:21.060
6148533,600693836,infostrada,,,,,194617,ROC,387,2.0,,,375839,35920,6450,2024-06-07 14:48:22.793,2025-03-31 03:07:57.530
6149366,52677375,infostrada,4816462.0,-1.0,HEINLE,Fabian,94474,Germany,87,12.0,7.62,7620.0,558699,35870,302,2024-06-07 14:48:22.793,2025-03-31 03:07:57.530
6149818,52685755,infostrada,4668671.0,-1.0,BROWNE,Kwesi,92733,Trinidad & Tobago,224,30.0,,,555431,35902,263,2024-06-07 14:48:22.793,2024-10-02 03:00:57.673
6149828,34329851,infostrada,4817368.0,-1.0,SCARVELIS,Nicholas,97537,Greece,90,27.0,19.37,19370.0,531455,30322,18,2024-06-07 14:48:22.793,2025-03-31 03:07:57.530
6149880,34337149,infostrada,4980397.0,-1.0,LETH,Lasse,96341,Denmark,60,3.0,192,192000.0,527671,29128,430,2024-06-07 14:48:22.793,2024-10-02 03:00:57.673
6150252,52675254,infostrada,7519092.0,-1.0,AALERUD,Katrine,95919,Norway,168,20.0,34:33.38,2073380.0,555421,35085,6471,2024-06-07 14:48:22.793,2024-10-02 03:00:57.673
6150339,34685101,infostrada,4796764.0,-1.0,GAZE,Sam,89896,New Zealand,170,37.0,,,529689,29181,543,2024-06-07 14:48:22.793,2024-10-02 03:00:57.673
6150859,34602250,infostrada,4919978.0,-1.0,OPREA,Marian,91838,Romania,187,,,,529676,30322,156,2024-06-07 14:48:22.793,2025-03-31 03:07:57.530
6151470,34666754,infostrada,4808733.0,-1.0,SPIRIG,Nicola,92098,Switzerland,207,2.0,1:56:56,7016000.0,531449,30005,6558,2024-06-07 14:48:22.793,2024-10-02 03:00:57.673
6151916,403350461,infostrada,,,,,96810,Republic of Korea,123,14.0,3:25.31,205310.0,549219,33822,26546,2024-06-07 14:48:22.793,2025-03-31 03:07:57.530
6158766,34663561,infostrada,4708214.0,-1.0,FILIORIANU,Ana Luiza,92882,Romania,187,22.0,67.458,67458.0,531462,28963,992,2024-06-07 14:48:22.793,2025-02-09 02:01:01.737
6172430,801456874,infostrada,,,,,56285,N. Makroguzova/Kholomina,387,9.0,,,415192,35898,6512,2024-06-07 14:48:22.793,2025-03-31 03:07:57.530
6172470,40384616,infostrada,4937450.0,-1.0,BARTOL,Tilen,94672,Slovenia,210,17.0,247.5,247500.0,542390,33824,889674,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
