id_federation,federation_name,athlete_count
9,Fédération Française d'Athlétisme,4206
58,Fédération Française de Ski,2225
44,Fédération Française de Natation,2050
21,Fédération Française de Cyclisme,1006
36,Fédération Française de Judo-Jujitsu Kendo et Disciplines Associées,866
67,Fédération Française de Tir,811
42,Fédération Française de Lutte,724
17,Fédération Française de Boxe,696
28,Fédération Française de Gymnastique,578
18,Fédération Française de Canoë-Kayak et Sports de Pagaie,469
82,Fédération Française d'Escrime,464
3,Fédération Française d'Haltérophilie-musculation,462
80,Fédération Française des Sports de Glace,461
54,Fédération française de roller et skateboard,391
71,Fédération Française de Voile,366
64,Fédération Française de Taekwondo et Disciplines Associées,314
65,Fédération Française de Tennis,298
68,Fédération Française de Tir à l'Arc,297
66,Fédération Française de Tennis de Table,271
27,Fédération Française de Golf,257
69,Fédération Française de Triathlon et Disciplines Enchaînées,233
10,Fédération Française de Badminton,175
49,Fédération Française de Pentathlon Moderne,155
40,Fédération française de la Montagne et de l'Escalade,91
37,Fédération Française de Karaté et disciplines associées,81
63,Fédération Française de Surf,72
23,Fédération Française de Danse,33
