id_epreuve,epreuve,epreuve_genre,discipline_administrative
6616,10000m - Femmes,Femmes,Athlétisme disciplines olympiques
440,10000m - Hommes,Hommes,Athlétisme disciplines olympiques
6527,100m - Femmes,Femmes,Athlétisme disciplines olympiques
289,100m - Hommes,Hommes,Athlétisme disciplines olympiques
6590,100m Haies - Femmes,Femmes,Athlétisme disciplines olympiques
441,110m Haies - Hommes,Hommes,Athlétisme disciplines olympiques
6556,1500m - Femmes,Femmes,Athlétisme disciplines olympiques
8,1500m - Hommes,Hommes,Athlétisme disciplines olympiques
6611,200m - Femmes,Femmes,Athlétisme disciplines olympiques
144,200m - Hommes,Hommes,Athlétisme disciplines olympiques
6868,20km Marche - Femmes,Femmes,Athlétisme disciplines olympiques
291,20km Marche - Hommes,Hommes,Athlétisme disciplines olympiques
6589,3000m Steeplechase - Femmes,Femmes,Athlétisme disciplines olympiques
146,3000m Steeplechase - Hommes,Hommes,Athlétisme disciplines olympiques
6528,400m - Femmes,Femmes,Athlétisme disciplines olympiques
296,400m - Hommes,Hommes,Athlétisme disciplines olympiques
6529,400m Haies - Femmes,Femmes,Athlétisme disciplines olympiques
445,400m Haies - Hommes,Hommes,Athlétisme disciplines olympiques
6618,5000m - Femmes,Femmes,Athlétisme disciplines olympiques
147,5000m - Hommes,Hommes,Athlétisme disciplines olympiques
6586,800m - Femmes,Femmes,Athlétisme disciplines olympiques
299,800m - Hommes,Hommes,Athlétisme disciplines olympiques
148,Decathlon - Hommes,Hommes,Athlétisme disciplines olympiques
6704,Disque - Femmes,Femmes,Athlétisme disciplines olympiques
149,Disque - Hommes,Hommes,Athlétisme disciplines olympiques
6842,Hauteur - Femmes,Femmes,Athlétisme disciplines olympiques
449,Hauteur - Hommes,Hommes,Athlétisme disciplines olympiques
797,Heptathlon - Femmes,Femmes,Athlétisme disciplines olympiques
6655,Javelot - Femmes,Femmes,Athlétisme disciplines olympiques
153,Javelot - Hommes,Hommes,Athlétisme disciplines olympiques
6615,Longueur - Femmes,Femmes,Athlétisme disciplines olympiques
302,Longueur - Hommes,Hommes,Athlétisme disciplines olympiques
6617,Marathon - Femmes,Femmes,Athlétisme disciplines olympiques
154,Marathon - Hommes,Hommes,Athlétisme disciplines olympiques
6763,Marteau - Femmes,Femmes,Athlétisme disciplines olympiques
448,Marteau - Hommes,Hommes,Athlétisme disciplines olympiques
6551,Perche - Femmes,Femmes,Athlétisme disciplines olympiques
155,Perche - Hommes,Hommes,Athlétisme disciplines olympiques
6843,Poids - Femmes,Femmes,Athlétisme disciplines olympiques
18,Poids - Hommes,Hommes,Athlétisme disciplines olympiques
6612,Relais 4 x 100m - Femmes,Femmes,Athlétisme disciplines olympiques
444,Relais 4 x 100m - Hommes,Hommes,Athlétisme disciplines olympiques
6525,Relais 4 x 400m - Femmes,Femmes,Athlétisme disciplines olympiques
13,Relais 4 x 400m - Hommes,Hommes,Athlétisme disciplines olympiques
6907,Relais 4 x 400m - Mixte,Mixte,Athlétisme disciplines olympiques
6591,Triple saut - Femmes,Femmes,Athlétisme disciplines olympiques
156,Triple saut - Hommes,Hommes,Athlétisme disciplines olympiques
6521,Deux de couple - Femmes,Femmes,Aviron
349,Deux de couple - Hommes,Hommes,Aviron
6573,Deux de couple - Poids léger Femmes,Femmes,Aviron
488,Deux de couple - Poids léger Hommes,Hommes,Aviron
6522,Deux sans barreur - Femmes,Femmes,Aviron
198,Deux sans barreur - Hommes,Hommes,Aviron
6536,Huit avec barreur - Femmes,Femmes,Aviron
200,Huit avec barreur - Hommes,Hommes,Aviron
6518,Quatre de couple - Femmes,Femmes,Aviron
203,Quatre de couple - Hommes,Hommes,Aviron
6523,Quatre sans barreur - Femmes,Femmes,Aviron
348,Quatre sans barreur - Hommes,Hommes,Aviron
6620,Skiff - Femmes,Femmes,Aviron
351,Skiff - Hommes,Hommes,Aviron
6965,BMX Freestyle - Femmes,Femmes,BMX freestyle
6086,BMX Freestyle - Hommes,Hommes,BMX freestyle
6508,BMX Race - Femmes,Femmes,BMX race
631,BMX Race - Hommes,Hommes,BMX race
6477,Double - Femmes,Femmes,Badminton
40,Double - Hommes,Hommes,Badminton
6478,Double - Mixte,Mixte,Badminton
6479,Simple - Femmes,Femmes,Badminton
189,Simple - Hommes,Hommes,Badminton
6516,Basket 3x3 Equipe F,Femmes,Basketball 3x3
6450,Basket 3x3 Equipe H,Hommes,Basketball 3x3
6517,Basket 5x5 Equipe F,Femmes,Basketball 5x5
454,Basket 5x5 Equipe H,Hommes,Basketball 5x5
897733,+92kg - Hommes,Hommes,Boxe anglaise
897756,50kg - Femmes,Femmes,Boxe anglaise
897749,51kg - Hommes,Hommes,Boxe anglaise
897754,54kg - Femmes,Femmes,Boxe anglaise
1257,57kg - Femmes,Femmes,Boxe anglaise
897748,57kg - Hommes,Hommes,Boxe anglaise
1258,60kg - Femmes,Femmes,Boxe anglaise
897751,63.5kg - Hommes,Hommes,Boxe anglaise
897755,66kg - Femmes,Femmes,Boxe anglaise
897750,71kg - Hommes,Hommes,Boxe anglaise
897757,75kg - Femmes,Femmes,Boxe anglaise
897752,80kg - Hommes,Hommes,Boxe anglaise
897758,92kg - Hommes,Hommes,Boxe anglaise
897393,Breaking - Femmes,Femmes,Breaking
897394,Breaking - Hommes,Hommes,Breaking
6756,C1 - Femmes,Femmes,Canoë
595,C1 - Hommes,Hommes,Canoë
552,C1 1000m - Hommes,Hommes,Canoë
6776,C1 200m - Femmes,Femmes,Canoë
6767,C2 500m - Femmes,Femmes,Canoë
889705,C2 500m - Hommes,Hommes,Canoë
6593,10m Carabine à air comprimé - Femmes,Femmes,Carabine
78,10m Carabine à air comprimé - Hommes,Hommes,Carabine
809042,10m Carabine à air comprimé - Par équipes (Mixte) - Mixte,Mixte,Carabine
6596,50m Carabine 3 positions - Femmes,Femmes,Carabine
685,50m Carabine 3 positions - Hommes,Hommes,Carabine
1473,Nacra 17 - Mixte,Mixte,Catamaran
6683,Individuel CCE - Open,Open,Concours complet
6684,Par équipes CCE - Open,Open,Concours complet
6795,Individuel Dressage - Open,Open,Dressage
6700,Par équipes Dressage - Open,Open,Dressage
895658,470 - Mixte,Mixte,Dériveur
27,49er - Hommes,Hommes,Dériveur
1281,49er FX - Femmes,Femmes,Dériveur
6652,ILCA 6 - Femmes,Femmes,Dériveur
28,ILCA 7 - Hommes,Hommes,Dériveur
6607,10km - Femmes,Femmes,Eau libre
3390,10km - Hommes,Hommes,Eau libre
6481,Individuel Épée - Femmes,Femmes,Epée
503,Individuel Épée - Hommes,Hommes,Epée
6490,Par équipes Épée - Femmes,Femmes,Epée
372,Par équipes Épée - Hommes,Hommes,Epée
895662,Vitesse - Femmes,Femmes,Escalade
892601,Vitesse - Hommes,Hommes,Escalade
897326,Épreuves combinées (B+D) - Femmes,Femmes,Escalade
897325,Épreuves combinées (B+D) - Hommes,Hommes,Escalade
6503,Individuel Fleuret - Femmes,Femmes,Fleuret
504,Individuel Fleuret - Hommes,Hommes,Fleuret
6504,Par équipes Fleuret - Femmes,Femmes,Fleuret
505,Par équipes Fleuret - Hommes,Hommes,Fleuret
6788,Football Equipe F,Femmes,Football
280,Football Equipes H,Hommes,Football
6648,Golf Individuel - Femmes,Femmes,Golf
341,Golf Individuel - Hommes,Hommes,Golf
1227,Barres asymétriques - Femmes,Femmes,Gymnastique artistique féminine
6540,Concours général - Femmes,Femmes,Gymnastique artistique féminine
6542,GAF Par équipes - Femmes,Femmes,Gymnastique artistique féminine
1197,Poutre - Femmes,Femmes,Gymnastique artistique féminine
6628,Saut - Femmes,Femmes,Gymnastique artistique féminine
6541,Sol - Femmes,Femmes,Gymnastique artistique féminine
618,Anneaux - Hommes,Hommes,Gymnastique artistique masculine
600,Barre fixe - Hommes,Hommes,Gymnastique artistique masculine
575,Barres parallèles - Hommes,Hommes,Gymnastique artistique masculine
601,Cheval d'arçons - Hommes,Hommes,Gymnastique artistique masculine
574,Concours général - Hommes,Hommes,Gymnastique artistique masculine
620,GAM Par équipes - Hommes,Hommes,Gymnastique artistique masculine
602,Saut - Hommes,Hommes,Gymnastique artistique masculine
599,Sol - Hommes,Hommes,Gymnastique artistique masculine
1192,Concours général ensembles - Femmes,Femmes,Gymnastique rythmique
992,Concours multiple individuel - Femmes,Femmes,Gymnastique rythmique
896729,+102kg - Hommes - JO,Hommes,Haltérophilie
896736,+81kg - Femmes - JO,Femmes,Haltérophilie
892786,102kg - Hommes - JO,Hommes,Haltérophilie
26322,49kg - Femmes - JO,Femmes,Haltérophilie
1323,59kg - Femmes - JO,Femmes,Haltérophilie
26489,61kg - Hommes - JO,Hommes,Haltérophilie
892800,71kg - Femmes - JO,Femmes,Haltérophilie
26490,73kg - Hommes - JO,Hommes,Haltérophilie
26496,81kg - Femmes - JO,Femmes,Haltérophilie
892781,89kg - Hommes - JO,Hommes,Haltérophilie
6475,Handball Equipe F,Femmes,Handball
342,Handball Equipe H,Hommes,Handball
6469,Hockey Equipe F,Femmes,Hockey sur gazon
157,Hockey Equipe H,Hommes,Hockey sur gazon
48,+100kg - Hommes,Hommes,Judo
942,+78kg - Femmes,Femmes,Judo
345,100kg - Hommes,Hommes,Judo
825,48kg - Femmes,Femmes,Judo
938,52kg - Femmes,Femmes,Judo
1136,57kg - Femmes,Femmes,Judo
347,60kg - Hommes,Hommes,Judo
1041,63kg - Femmes,Femmes,Judo
483,66kg - Hommes,Hommes,Judo
1042,70kg - Femmes,Femmes,Judo
49,73kg - Hommes,Hommes,Judo
941,78kg - Femmes,Femmes,Judo
484,81kg - Hommes,Hommes,Judo
346,90kg - Hommes,Hommes,Judo
6629,Par équipes - Mixte,Mixte,Judo
893193,CSLX - Femmes,Femmes,Kayak
892681,CSLX - Hommes,Hommes,Kayak
6584,K1 - Femmes,Femmes,Kayak
279,K1 - Hommes,Hommes,Kayak
591,K1 1000m - Hommes,Hommes,Kayak
6580,K1 500m - Femmes,Femmes,Kayak
6581,K2 500m - Femmes,Femmes,Kayak
889325,K2 500m - Hommes,Hommes,Kayak
6577,K4 500m - Femmes,Femmes,Kayak
275,K4 500m - Hommes,Hommes,Kayak
893162,Kitefoil - Femmes OLY,Femmes,Kiteboard
896013,Kitefoil - Hommes OLY,Hommes,Kiteboard
696,125kg LL- Hommes,Hommes,Lutte
702,130kg GR - Hommes,Hommes,Lutte
6426,50kg - Femmes,Femmes,Lutte
1298,53kg - Femmes,Femmes,Lutte
26317,57kg - Femmes,Femmes,Lutte
693,57kg LL- Hommes,Hommes,Lutte
26436,60kg GR - Hommes,Hommes,Lutte
6454,62kg - Femmes,Femmes,Lutte
692,65kg LL - Hommes,Hommes,Lutte
6424,67kg GR - Hommes,Hommes,Lutte
6428,68kg - Femmes,Femmes,Lutte
1736,74kg LL - Hommes,Hommes,Lutte
26316,76kg - Femmes,Femmes,Lutte
26431,77kg GR- Hommes,Hommes,Lutte
694,86kg LL- Hommes,Hommes,Lutte
26318,87kg GR - Hommes,Hommes,Lutte
6427,97kg GR - Hommes,Hommes,Lutte
695,97kg LL - Hommes,Hommes,Lutte
819,Duo - Femmes,Femmes,Natation artistique
897328,Par équipes - Open,Open,Natation artistique
6859,100m Brasse - Femmes,Femmes,Natation course
177,100m Brasse - Hommes,Hommes,Natation course
6566,100m Dos - Femmes,Femmes,Natation course
176,100m Dos - Hommes,Hommes,Natation course
6635,100m Nage libre - Femmes,Femmes,Natation course
179,100m Nage libre - Hommes,Hommes,Natation course
6688,100m Papillon - Femmes,Femmes,Natation course
178,100m Papillon - Hommes,Hommes,Natation course
6603,1500m Nage libre - Femmes,Femmes,Natation course
181,1500m Nage libre - Hommes,Hommes,Natation course
6601,200m 4 nages (individuel) - Femmes,Femmes,Natation course
322,200m 4 nages (individuel) - Hommes,Hommes,Natation course
6602,200m Brasse - Femmes,Femmes,Natation course
321,200m Brasse - Hommes,Hommes,Natation course
6562,200m Dos - Femmes,Femmes,Natation course
471,200m Dos - Hommes,Hommes,Natation course
6561,200m Nage libre - Femmes,Femmes,Natation course
183,200m Nage libre - Hommes,Hommes,Natation course
6604,200m Papillon - Femmes,Femmes,Natation course
182,200m Papillon - Hommes,Hommes,Natation course
6600,400m 4 nages (individuel) - Femmes,Femmes,Natation course
38,400m 4 nages (individuel) - Hommes,Hommes,Natation course
6563,400m Nage libre - Femmes,Femmes,Natation course
474,400m Nage libre - Hommes,Hommes,Natation course
6637,50m Nage libre - Femmes,Femmes,Natation course
331,50m Nage libre - Hommes,Hommes,Natation course
6660,800m Nage libre - Femmes,Femmes,Natation course
332,800m Nage libre - Hommes,Hommes,Natation course
6638,Relais 4 x 100m 4 nages - Femmes,Femmes,Natation course
325,Relais 4 x 100m 4 nages - Hommes,Hommes,Natation course
6574,Relais 4 x 100m 4 nages - Mixte,Mixte,Natation course
6560,Relais 4 x 100m Nage libre - Femmes,Femmes,Natation course
184,Relais 4 x 100m Nage libre - Hommes,Hommes,Natation course
6567,Relais 4 x 200m Nage libre - Femmes,Femmes,Natation course
326,Relais 4 x 200m Nage libre - Hommes,Hommes,Natation course
