id_equipe,team_name,id_federation,federation_name
3,Germany,30,Fédération Française de Hockey
4,Senegal,14,Fédération Française de Basketball
7,Poland,74,Fédération Française de Volley
11,Japan,80,Fédération Française des Sports de Glace
16,China,14,Fédération Française de Basketball
20,Denmark,29,Fédération Française de Handball
24,France,14,Fédération Française de Basketball
33,Norway,29,Fédération Française de Handball
43,Spain,29,Fédération Française de Handball
46,Russia,74,Fédération Française de Volley
53,Nigeria,14,Fédération Française de Basketball
55,France,29,Fédération Française de Handball
65,Republic of Korea,74,Fédération Française de Volley
80,Denmark,31,Fédération Française de Hockey sur Glace
85,Germany,14,Fédération Française de Basketball
90,Japan,29,Fédération Française de Handball
92,Angola,29,Fédération Française de Handball
95,Japan,44,Fédération Française de Natation
104,Norway,29,Fédération Française de Handball
110,United States,31,Fédération Française de Hockey sur Glace
112,France,30,Fédération Française de Hockey
114,Russia,74,Fédération Française de Volley
116,Croatia,14,Fédération Française de Basketball
119,Canada,14,Fédération Française de Basketball
123,Iran,14,Fédération Française de Basketball
125,Sweden,29,Fédération Française de Handball
128,Argentina,30,Fédération Française de Hockey
135,Argentina,74,Fédération Française de Volley
154,Germany,31,Fédération Française de Hockey sur Glace
158,Norway,31,Fédération Française de Hockey sur Glace
159,Croatia,44,Fédération Française de Natation
164,Greece,44,Fédération Française de Natation
174,Switzerland,80,Fédération Française des Sports de Glace
176,Japan,80,Fédération Française des Sports de Glace
181,Poland,29,Fédération Française de Handball
182,Canada,31,Fédération Française de Hockey sur Glace
185,Italy,14,Fédération Française de Basketball
195,Brazil,14,Fédération Française de Basketball
196,Puerto Rico,14,Fédération Française de Basketball
200,China,30,Fédération Française de Hockey
202,France,30,Fédération Française de Hockey
204,United States,31,Fédération Française de Hockey sur Glace
209,Greece,14,Fédération Française de Basketball
212,Netherlands,30,Fédération Française de Hockey
213,Nigeria,14,Fédération Française de Basketball
216,Slovenia,31,Fédération Française de Hockey sur Glace
218,Sweden,80,Fédération Française des Sports de Glace
220,Puerto Rico,74,Fédération Française de Volley
224,Spain,44,Fédération Française de Natation
226,Canada,30,Fédération Française de Hockey
227,Latvia,31,Fédération Française de Hockey sur Glace
229,Spain,44,Fédération Française de Natation
231,Russia,44,Fédération Française de Natation
232,United States,14,Fédération Française de Basketball
235,Netherlands,44,Fédération Française de Natation
240,Great Britain,80,Fédération Française des Sports de Glace
244,Canada,80,Fédération Française des Sports de Glace
258,Spain,14,Fédération Française de Basketball
263,South Africa,30,Fédération Française de Hockey
268,United States,13,"Fédération Française de Baseball, Softball et Cricket"
278,Australia,44,Fédération Française de Natation
287,South Africa,44,Fédération Française de Natation
292,Argentina,30,Fédération Française de Hockey
296,Sweden,29,Fédération Française de Handball
302,Sweden,80,Fédération Française des Sports de Glace
305,Australia,13,"Fédération Française de Baseball, Softball et Cricket"
306,France,74,Fédération Française de Volley
307,Netherlands,29,Fédération Française de Handball
312,Switzerland,31,Fédération Française de Hockey sur Glace
315,Tunisia,29,Fédération Française de Handball
316,France,44,Fédération Française de Natation
317,Argentina,74,Fédération Française de Volley
318,Ireland,30,Fédération Française de Hockey
323,France,44,Fédération Française de Natation
324,Ireland,30,Fédération Française de Hockey
336,Spain,14,Fédération Française de Basketball
338,Germany,30,Fédération Française de Hockey
341,India,30,Fédération Française de Hockey
345,Spain,30,Fédération Française de Hockey
347,India,30,Fédération Française de Hockey
