id_discipline_administrative,discipline_administrative,epreuve_count
251,Athlétisme disciplines olympiques,49
355,Natation course,35
45,Haltérophilie,35
262,Lutte,28
360,Boxe anglaise,27
108,Ski de fond,20
68,Judo,15
8,Aviron,15
397,Kayak,15
401,Patinage de vitesse sur glace grande piste,14
110,Ski freestyle,13
22,Piste,13
109,Biathlon,12
111,Surf des neiges,11
107,Ski alpin,11
400,Patinage de vitesse sur glace courte piste,9
398,Canoë,9
84,Plongeon,8
129,Taekwondo,8
311,Gymnastique artistique masculine,8
144,Dériveur,8
275,Plateau,7
137,Pistolet,6
136,Carabine,6
392,Kumité,6
310,Gymnastique artistique féminine,6
72,Escalade,6
9,Badminton,5
130,Tennis,5
106,Saut à ski,5
368,Tir à l'arc sur cibles,5
131,Tennis de table,5
23,Route,4
372,Planche à voile (windsurf),4
34,Fleuret,4
33,Epée,4
35,Sabre,4
246,Skateboard,4
117,Bobsleigh,4
119,Luge,4
120,Patinage artistique,4
118,Curling,3
142,Triathlon,3
105,Combine nordique,3
82,Natation artistique,3
286,BMX freestyle,2
256,VTT,2
47,Handball,2
67,Hockey sur gazon,2
151,Volley-ball de plage (beach volley),2
30,Saut d'obstacles,2
358,Basketball 5x5,2
83,Eau libre,2
85,Water polo,2
150,Volley-ball,2
288,Basketball 3x3,2
42,Trampoline,2
25,BMX race,2
36,Football,2
153,Skeleton,2
187,Hockey sur glace,2
97,Pentathlon moderne,2
28,Concours complet,2
38,Golf,2
29,Dressage,2
391,Kata,2
40,Gymnastique rythmique,2
371,Kiteboard,2
287,Breaking,2
245,Rugby à 7,2
127,Surf,2
11,Baseball,1
152,Danse sur glace,1
146,Catamaran,1
12,Softball,1
