id_edition,event_count
20757,2
20759,8
20760,2
20761,14
20762,10
20763,12
20764,6
26519,4
28436,2
28938,2
28945,2
28963,2
28988,12
28999,4
29084,2
29118,2
29126,2
29128,10
29181,2
29865,15
29889,2
29912,4
29921,15
29990,2
29998,14
30005,2
30060,32
30131,10
30322,47
32727,5
32728,2
32729,2
32730,2
32731,5
32732,13
32733,2
32734,4
32735,8
32736,2
32737,14
32738,2
33816,14
33817,2
33818,11
33821,3
33822,3
33823,4
33824,4
33825,3
33826,5
33827,11
33828,12
33829,10
33830,10
33831,8
33832,2
33971,35
35085,4
35778,14
35869,5
35870,48
35871,2
35872,2
35873,2
35874,1
35875,1
35877,10
35878,2
35879,8
35880,2
35881,5
35882,13
35883,2
35886,2
35887,15
35888,14
35889,5
35890,3
35891,5
35892,2
35893,12
35894,15
35895,8
35897,11
35898,2
35899,8
35900,2
35901,2
35902,12
35903,2
35904,2
35906,2
35907,12
35908,4
35909,2
35911,14
35912,2
35913,12
35914,6
35915,2
35916,4
35917,2
35918,2
35920,2
35966,2
36564,2
38093,2
45578,12
45579,3
45628,4
45641,9
45642,4
45643,5
45720,11
45807,2
45827,3
54901,2
54915,11
54916,5
54943,13
54962,14
56682,2
58803,48
58806,2
58807,2
58808,2
58809,2
58810,2
58811,2
58812,5
58813,13
58814,12
58815,15
58816,5
58817,8
58818,5
58819,2
58820,12
58821,6
58828,2
58829,35
58830,8
58831,2
58832,5
58833,10
58834,6
58835,2
58836,2
58837,2
58838,4
58839,12
58840,2
58841,2
58842,2
58843,2
58844,14
58845,2
58846,2
58847,2
58848,14
58849,10
58850,15
58851,3
58852,10
58853,4
58854,2
58866,2
59010,4
86591,2
94183,2
